customer_message,clean_customer_message
Dạ bạn hỏi màu nào của mẫu beko ạ?,dạ bạn hỏi màu nào của mẫu beko ạ
b ơi b đã check đk ship chưa?,bạn ơi bạn đã check được ship chưa
"1650k màu đen ạ
Cho m xem hình dc k
Hình lúc mở và xếp lại nha shop
Cho e xem xe mastela luôn nha v
Báo giá e nhé",1650k màu đen ạ cho mình xem hình được không mình lúc mở và xếp lại nha shop cho em xem xe mastela luôn nha vậy báo giá em nhé
https://shopee.vn/search?keyword=gh%E1%BA%BF%20%C3%B4%20t%C3%B4&shop=36371562,https //shopê vn/seảh keywỏ=gh%e1%ba%bf%20%c3%b4%20t%c3%b4 shop=36371562
hnay nhớ ship tớ nhé,hôm nay nhớ ship tớ nhé
"❌ 0611001928974 - VietcomBank chi nhánh Ba Đình. Nguyễn Lê Thuỷ

❌ 19034987361010 - Nguyễn Lê Thuỷ
Ngân hàng Techcombank


Nội dung chuyển khoản Thanh Nguyen  ghi rõ Tên Facebook + số điện thoại và nhắn lại bên mình sau khi CK nhé.",❌ 0611001928974 - vietcombank chi nhánh ba mình nguyên lê thuỷ ❌ 19034987361010 - nguyễn lê thuỷ ngân hàng vietcombank nội dung chuyển khoản thanh nguyen ghi rõ tên facebook + số điện thoại và nhìn lại bên mình sau khi chuyển khoản nhé
"Xe mastela xếp lại gọn hơn b beko k c
E đg kiếm xe để mang lên máy bay đi du lịch ấy c",xe mastela xếp lại gọn hơn bạn beko không chị em đg kiếm xe để mang lên máy bay đi du lịch ấy chị
"99+30k ship nha b
Gửi cho mình với
Mình ở lai châu
Ship cod dc k b",99+30k ship nha bạn gửi cho mình với mình ở lai châu ship cod được không bạn
Cho mình xin link shopee của bên shop với ạ,cho mình xin link shopee của bên shop với ạ
"Xe beko bên m là dòng nào vậy c
Của nước nào c",xe beko bên mình là dòng nào vậy chị của nước nào chị
"sx tại TQ
Dạ
Cho e suy nghĩ tới chiều nha c",sản xuất tại trung quốc dạ cho em suy nghĩ tới chiều nhà chị
Nếu m k lấy thảm thì giá như nào vậy b?,nếu mình không lấy thảm thì giá như nào vậy bạn
"Shop cho m hỏi chút
Bên b có bán mình bộ quây cũi, bóng và k gồm cầu trượt vs xích đu k ạ",shop cho mình hỏi chút bên bạn có bán mình bộ quây cũi bóng và không gồm cầu trượt với xích đu không ạ
"ok b
Ghi địa chỉ t nhận là 
Thanh - 351 trần đăng ninh tp sơn la 0943484567",ok bạn ghi địa chỉ tớ nhận là thanh - 351 trần đăng ninh thành phố sơn la 0943484567
Cho e hỏi,cho em hỏi
"Dạ 390k nha bạn
Cho e hỏi
Cái ghế ăn dặm vs ah",dạ 390k nha bạn cho em hỏi cái ghế ăn dặm với ạ
Vingg mình hết bạn ạ,vingg mình hết bạn ạ
"Okie bạn, vậy để mình đo chiều ngang xong có j mình báo bạn nhé",okie bạn vậy để mình đo chiều ngang xong có gì mình báo bạn nhé
"Ghế có ngả đc ra sau chút k ạ
Vì bé nhà mình chưa ngồi hẳn đc",ghế có ngả được ra sau chút không ạ vì bé nhà mình chưa ngồi hẳn được
Sdt 0355893492,số điện thoại 0355893492
"Àh shop
Oi
Đổi cho m cái màu hồng
Cái đó tháo ra giặt đc đúng k b
Thế b đổi màu hồng cho m nhe",ah shop ơi đổi cho mình cái màu hồng cái đó tháo ra giặt được đúng không bạn thế bạn đổi màu hồng cho mình nhé
"The shop đổi cho m màu hồng vì con mih là con gái
Cảm ơn shop",thế shop đổi cho mình màu hồng vì con mình là còn gái cảm ơn shop
Tổng của m là bn nhi,tổng của mình là bao nhiêu nhỉ
"Hnay shop ship cho m nhe
M đọc fb thấy màu hồng giá khác",hôm nay shop ship cho mình nhé mình đọc facebook thấy màu hồng giá khác
"Shop ui
Có cách nào giao đc cầu trượt bập bênh cho em k ạ",shop ui có cách nào giao được cầu trượt bập bênh cho em không ạ
Mình lắp pin và dùng được r ạ. Cảm ơn bạn. Tại mình thấy có dây sạc.,mình lắp pin và dùng được rồi ạ cảm ơn bạn tại mình thấy có dây sạc
990+40k,990+40k
"Ok shop
Alo b ouq
Cho mih hoi
Sao cái đai em bé ko thăt đc
em bé nhà mình có 13 tháng
8kg mà ko thắt đc vì chật quá ko kéo dài ra thêm đ
c",ok shop alo bạn ouq cho mình hỏi sao cái đai em bé không thất được em bé nhà mình có 13 tháng 8kg mà không thất được vì chật quá không kéo dài ra thêm đ chị
Dạ mình còn,dạ mình còn
Mình còn có 1 gối ngồi con rắn mua trên shopee,mình còn có 1 gối ngồi còn rắn mua trên shopee
"À ko cùng đơn
Bạn chuyển sớm cho mình nhé",à không cũng đơn bạn chuyển sớm cho mình nhé
"Hẹn h trc chị còn nhờ người lấy nhé
Chứ đến bất ngờ ko ai ở nhà thanh toán đc",hơn giờ trước chị còn nhờ người lấy nhé chứ đến bất ngờ không ai ở nhà thanh toán được
Báo giá m cai này nhé,báo giá mình cái này nhé
"dạ 2350k b ạ
Kích thước cũi Pier bn ạ",dạ 2350k bạn ạ kích thước cũi pier bao nhiêu ạ
"Shop có ship cod tỉnh không ạ
E ở ninh bình",shop có ship cod tỉnh không ạ em ở ninh bình
"E vừa vào shopee,nhưng ko có mục chọn thanh chắn 12 mà chỉ có loại 36",em vừa vào shopee nhưng không có mục chọn thanh chắn 12 mà chỉ có loại 36
"Mẫu số 6 đúng k em
Màu như vậy đúng k ạ",mẫu số 6 đúng không em màu như vậy đúng không ạ
Chị ơi cầu thang nhà em rộng 104cm thì lấy thanh chắn như nào ạ,chị ơi cầu thang nhà em rộng 104cm thì lấy thanh chắn như nào ạ
"C đặt trên shoppee thấy màu này hết rồi
Hic
Màu số 6 còn ko em",chị đặt trên shopee thấy màu này hết rồi hic màu số 6 còn không em
"vâng shiop 30k nha
Thế c đặt trên shopee có được free ship ko em",vâng shiop 30k nha thế chị đặt trên shopee có được free ship không em
https://shopee.vn/Thanh-ch%E1%BA%AFn-gi%C6%B0%E1%BB%9Dng-%C4%91i%E1%BB%81u-ch%E1%BB%89nh-%C4%91%E1%BB%99-cao-Mastela-cao-c%E1%BA%A5p-i.36371562.5608005381,https //shopê vn/thanh-ch%e1%ba%à-gi%c6%b0%e1%bb%9dng-%c4%91i%e1%bb%81u-ch%e1%bb%89nh-%c4%91%e1%bb%99-cao-máela-cao-c%e1%ba%a5p-i 36371562 5608005381
"set 4250k nha bạn
T hỏi ý khác mà b
Giá t biết r",set 4250k nha bạn tớ hỏi ý khác mà bạn giá tớ biết rồi
"Chứ ko thể thành set như kia đâu
Có thể qua tận nơi mua k bạn
Có thể qua tận nơi mua k bạn",chứ không thể thanh set như kia đâu có thể qua tận nơi mua không bạn có thể qua tận nơi mua không bạn
"Bạn ơi, cho mình hỏi xe này bn ạ",bạn ơi cho mình hỏi xe này bao nhiêu ạ
"Cái cầu trượt của bộ này có to hơn bộ cả quây cũi k shop
Cầu trươnt 2 bộ này cái nào dài hơn
Và nếu mình mua bộ cầu trượt trc sau này mua thêm bộ quây riêng thì có lắp chung đc ko",cái cầu trượt của bộ này có to hơn bộ cả quây cũi không shop cầu trươnt 2 bộ này cái nào dài hơn và nếu mình mua bộ cầu trượt trước sau này mua thêm bộ quây riêng thì có lắp chung được không
Mẫu này thì bao nhiêu b ơi,mẫu này thì bao nhiêu bạn ơi
Vâng ạ,vâng ạ
40k ship bạn ơi,40k ship bạn ơi
Cho mình giá bảng này nha,cho mình giá bằng này nha
Có về hàng nữa ko ah,có về hàng nữa không ạ
"còn cả 2 màu à b
nhắn cho mình stk mình ck cả ship luôn nhé
bạn mình ở HN nhận hộ",còn cả 2 màu à bạn nhắn cho mình số tài khoản mình chuyển khoản cả ship luôn nhé bạn mình ở hà nội nhận hộ
"Mình ck rồi
B check giúp mình",mình chuyển khoản rồi bạn check giúp mình
"Bạn chuyển về địa chỉ này giúp mình
Nguyễn Quang Vinh 0971123125
Toyota Thăng Long, 316 Cầu Giấy",bạn chuyển về địa chỉ này giúp mình nguyên quang vinh 0971123125 toyota thăng long 316 cầu giấy
https://shopee.vn/M%C3%A1y-pha-s%E1%BB%AFa-cao-c%E1%BA%A5p-Tiny-Baby-Formula-(Nh%E1%BA%ADt-B%E1%BA%A3n)-i.36371562.1470810812,https //shopê vn/m%c3%a1y-pha-s%e1%bb%ầcao-c%e1%ba%a5p-tiny-baby-fỏula- nh%e1%ba%adt-b%e1%ba%a3n -i 36371562 1470810812
Bạn hỏi mẫu nào ạ?,bạn hỏi mẫu nào ạ
"Ôi lâu quá, t7 này mình lại về quê mất rồi",ôi lâu quá t7 này mình lại về quê mất rồi
"k thì bên mk gửi luon ve quê b
Km tới bao giờ shop
Cái này mình dùng ở tphcm
Mà đóng lại có gọn ko ta, gửi về thanh hoá, rồi mình tự mang vào sg",không thì bên mình gửi luôn về quê bạn khuyến mại tới bao giờ shop cái này mình dùng ở thành phố hồ chí minh mà đúng lại có gọn không ta gửi về thanh hoá rồi mình tự mang vào sài gòn
"Thế bạn gửi link là hình màu gì đó
Loại khác à",thế bạn gửi link là hình màu gì đó loại khác à
Dạ 1010k nha bạn,dạ 1010k nha bạn
😞,
bạn ơi b chốt ghế graco 4 ever rock way đo ạ,bạn ơi bạn chốt ghế graco 4 ever rock way đo ạ
"Nhưng t lấy màu kia
T bảo đúng màu loại đó
Bảo mua cái gì dùng dùm. Mua cả món đồ",chồng tớ lấy màu kia tớ bảo đúng màu loại đó bảo mua cái gì dòng dùm mua cả món đồ
mình có gửi link graco 4 EVER_ROCKWEAVE,mình có gửi link graco 4 evẻrockweave
Đồ chơi này có nhạc ko a,đồ chơi này có nhạc không ạ
Shop có xe 3 bánh ko a,shop có xe 3 bánh không ạ
Xe tập đi y a,xe tập đi ý ạ
Cho mình xin giá set này với ạ,cho mình xin giá set này với ạ
Shop cho hỏi còn màu xám ko,shop cho hỏi còn màu xám không
shop còn màu gì,shop còn màu gì
"dạ ko bạn ạ
Ship về quy nhơn bn ạ",đã không bạn ạ ship về quy nhơn bao nhiêu ạ
ra kho lấy hàng có thanh toán thẻ đc ko shop?,ra kho lấy hàng có thanh toán thẻ được không shop
bạn ơi tay bé cho xg duwosi ạ,bạn ơi tay bé cho xg dưsi ạ
Ship hàng giúp em,ship hàng giúp em
"bạn nhận tối dk k ak
Đc nhé ạ",bạn nhận tối được không à được nhé ạ
"mình gửi dại thắng hay sao ạ
Vâng ạ
C gửi đại thắng cho e",mình gửi dại thắng hay sao ạ vâng ạ chị gửi đại thắng cho em
mình  k còn ạ,mình không còn ạ
"E ck ro
Check giúp e ạ",em chuyển khoản ro check giúp em ạ
"b ơi mk xin lỗi kho báo mk chỉ còn hồn-xanh-tím ạ
Thế e ko lấy nữa ak
Vì khách e đặt màu đen cơ",bạn ơi mình xin lỗi kho báo mình chỉ còn hồn-xanh-tím ạ thế em không lấy nữa à vì khách em đặt màu đen cơ
"Mình còn ạ
ship Biên Hòa Đồng Nai phí như thế nào ạh?",mình còn ạ ship biên hòa đồng nai phí như thế nào ạh
cho em hỏi sp này bên mình còn hàng k shop?,cho em hỏi sản phẩm này bên mình còn hàng không shop
"bạn cko mk stk mk ck lại nhé
1111000475066
Vietcombank
Nguyễn thị phương phương",bạn cko mình số tài khoản mình chuyển khoản lại nhé 1111000475066 vietcombank nguyễn thị phương phương
https://shopee.vn/Xe-ch%C3%B2i-ch%C3%A2n-c%C3%B3-b%C3%A0n-%C4%91%E1%BA%A1p-cao-c%E1%BA%A5p-Motion-i.36371562.3213103696,https //shopê vn/xe-ch%c3%b2i-ch%c3%a2n-c%c3%b3-b%c3%a0n-%c4%91%e1%ba%a1p-cao-c%e1%ba%a5p-motion-i 36371562 3213103696
"đó là bên e bù thêm cho ship rồi ý ạh
Uh
Bh ship về chung cư northern diamond ngõ 202 dg cổ linh long biên cho c bh",đó là bên em bù thêm cho ship rồi ý ạh uh bảo hành ship về chung cư nỏhẻ diamond ngõ 202 dg cổ linh long biên cho chị bảo hành
hàng này to a,hàng này to à
"Mình muốn mua mấy món này shop báo đơn
Và có chế độ khuyến mãi j ko",mình muốn mua mấy món này shop báo đơn và có chế độ khuyến mãi gì không
"https://www.facebook.com/shopgauvabingo/posts/2354229071554084?__xts__%5B0%5D=68.ARAmTZszBsGFM-_fvWKcl04AJxoHvZMxPZZhFMXY5WsSPaoJGP5Clah0A7Hly-Kybi5msN67rGduqBU16m-iTfUsF17VDguNQjUik0STcD9bK2SBMebER8-aXIt1JQj2sKa-x8TyGlfg16TySbI78g8t6Qs6VAYYrTYUJ-ai_ydwI-9l4AMdWo54rSZqfxjhMe2r9UgUbz6rx-xn7W4nwn4EqqGklW97kYW7KRQd969VVME0U_CthV9b8G6Uabg-nus_uD3vD1XLUnij2rFbb8ePFYprQIwNQ05vYUfD7_RMI84wmynl2Jns4KIqdBkB_O1v7F-ev6RgItDW75qS2rUDI8NN&__tn__=-R
nhầm là xe b - beko chứ
là xe này màu xám nha bạn",https //www facebook com/shopgauvabingo/posts/2354229071554084 __xts__%5B0%5D=68 ARAmTZszBsGFM-_fvWKcl04AJxoHvZMxPZZhFMXY5WsSPaoJGP5Clah0A7Hly-Kybi5msN67rGduqBU16m-iTfUsF17VDguNQjUik0STcD9bK2SBMebER8-aXIt1JQj2sKa-x8TyGlfg16TySbI78g8t6Qs6VAYYrTYUJ-ai_ydwI-9l4AMdWo54rSZqfxjhMe2r9UgUbz6rx-xn7W4nwn4EqqGklW97kYW7KRQd969VVME0U_CthV9b8G6Uabg-nus_uD3vD1XLUnij2rFbb8ePFYprQIwNQ05vYUfD7_RMI84wmynl2Jns4KIqdBkB_O1v7F-ev6RgItDW75qS2rUDI8NN __tn__=-R nhầm là xe b - beko chứ là xe này màu xám nha bạn
"Địa chỉ: toà Glex 52 lê đại hành 
Người nhận : chị Huyền sdt : 038 9604008
Xe đẩy gấp gọn b beko xám",địa chỉ toà glẽ 52 lê đại hành người nhận chị huyền số điện thoại 038 9604008 xe đẩy gấp gọn bạn beko xám
"Bạn check tk nha
Ship được trong chiều nay cho mình càng tốt
Đóng thùng gói cẩn thận giúp mình mình đem đi tặng cho chị kia mà",bạn check tài khoản nha ship được trong chiều nay cho mình cũng tốt đóng thùng gói cẩn thận giúp mình mình đem đi tặng cho chị kia mà
"oki bạn
chị ơi
c check giúp e xem shipper giao chưa ạ?",uki bạn chị ơi chị check giúp em xem shipper giao chưa ạ
"okie bạn
e gửi rồi c nhé",okie bạn em gửi rồi chị nhé
"sdt nhận hàng thêm 1 số
0936252168",số điện thoại nhận hàng thêm 1 số 0936252168
bàn ghế 1 truieeu,bàn ghế 1 truiê
"Chào Cao Viet Hung, mình là trợ lý ảo của Shop Gấu & Bí Ngô",chào cao viet hung mình là trợ lý ảo của shop gấu bí ngô
"Quây bóng Hola chính hãng gồm 2 size: 1m5 x 1m8 & 1m8 x 2m
Full bộ gồm:

. 01 quây bóng
. 01 thảm chống 2 mặt XPE
. 01 cột bóng rổ
. 100 bóng Pastel

Size 1m5 x 1m8 Gấu & Bí Ngô giá KM chỉ 2150K
Size 1m8 x 2m Gấu & Bí Ngô giá KM chỉ 2450K

Hỗ trợ Freeship tại Nội thành Hà Nội.
Hỗ trợ Fresship qua nhà xe với các tỉnh thành gần Hà Nội

Ảnh Phan Ánh Phượng tham khảo tại đây giúp mình:  https://www.facebook.com/1454523434857990/posts/2157143434595983?sfns=mo",Quây bóng Hola chính hãng gồm 2 size  1m5 x 1m8   1m8 x 2m Full bộ gồm     01 quây bóng   01 thảm chống 2 mặt XPE   01 cột bóng rổ   100 bóng Pastel  Size 1m5 x 1m8 Gấu   Bí Ngô giá KM chỉ 2150K Size 1m8 x 2m Gấu   Bí Ngô giá KM chỉ 2450K  Hỗ trợ Freeship tại Nội thành Hà Nội  Hỗ trợ Fresship qua nhà xe với các tỉnh thành gần Hà Nội  Ảnh Phan Ánh Phượng tham khảo tại đây giúp mình   https //www facebook com/1454523434857990/posts/2157143434595983 sfns=mo
mẫu treen1 350k,mẫu trên 1 350k
"Mình ở hn thôi
Nhưng mình đặt hàng rồi ah",mình ở hà nội thôi nhưng mình đặt hàng rồi ạ
"Ah ý mình là có những mẫu nào vậy ạ?
Mình ko chọn đc
Mình ko biết mẫu nào ấy
Với bên bạn bán theo set hay có bán lẻ ko ah
Với mình được mua thêm bộ xúc cát giá 65k ấy
Cho mình link luôn",ạ ý mình là có những mẫu nào vậy ạ mình không chọn được mình không biết mẫu nào ấy với bên bạn bán theo set hay có bán lẻ không ạ với mình được mua thêm bộ xúc cát giá 65k ấy cho mình link luôn
"Mình đang đặt bể bơi trên shope
Mình muốn mua thêm 1 số đồ chơi tắm thì chọn mẫu nào đc ạ",mình đang đặt bể bơi tròn shope mình muốn mua thêm 1 số đồ chơi tắm thì chọn mẫu nào được ạ
"Shop oi
Bên shop có kệ để đồ chơi nhiều ngăn k ah
Kệ này giá bn ah",shop ơi bên shop có kệ để đồ chơi nhiều ngăn không ạ kệ này giá bao nhiêu ạ
"Ok shop
Vậy ship cho mình nhé
Minhg ở trần duy hưng trung hòa cầu giấy",ok shop vậy ship cho mình nhé minhg ở trên duy hưng trung hòa cầu giấy
"Sao ah
Vâng",sao ạ vâng
"Dạ bạn ơi mình xin lỗi
Mình ở vinhome D capitale tòa C7 trần duy hưng trung hòa cầu giáy",dạ bạn ơi mình xin lỗi mình ở vincom d capitale tòa c7 tuần duy hưng trung hòa cầu giấy
Mình có sănz xe chòi chân k,mình có sănz xe chòi chân không
"Mình có mẫu silicone bạn ạ
1 mẫu này thôi hả shop",mình có mẫu silicone bạn ạ 1 mẫu này thôi hả shop
B ơi cho m giá néh,bạn ơi cho mình giá néh
"Có bán quây bóng và thảm riêng k b
Có mấy sz hả b",có bán quây bóng và thảm riêng không bạn có mấy size hả bạn
"bạn ơi cho mình đặt thêm bộ này màu hồng nhé
ship đến số nhà 77 ngõ 27 Đại Cồ Việt - Hai Bà Trưng nhé
chị Thuỳ 0976123822",bạn ơi cho mình đặt thêm bộ này màu hồng nhé ship đến số nhà 77 ngõ 27 đại cồ việt - hai bà trưng nhé chị thu 0976123822
"Thảm cuộn cho bé, cho mình xem mẫu đi shop",thảm cuộn cho bé cho mình xem mẫu đi shop
Mình xin giá bộ này nhé b,mình xin giá bộ này nhé bạn
"Có màu khác k shop
Thế ah
Vậy bên b còn kệ nào nhiều ngăn như vậy k",có màu khác không shop thế ạ vậy bên bạn còn kệ nào nhiều ngăn như vậy không
còn màu xanh ko ạ,còn màu xanh không ạ
"Nhớ cho mình số bill mhes
Cảm ơn shop",nhờ cho mình số bill mhé cảm ơn shop
"cước về địa chỉ bạn là 170k nếu bạn đồng ý bên mình gửi đi ạ
Bạn gửi đi bạn",cước về địa chỉ bạn là 170k nếu bạn đồng ý bên mình gửi đi ạ bạn gửi đi bạn
"Chào Lê Lan Anh, mình là trợ lý ảo của Shop Gấu & Bí Ngô",chào lê lan anh mình là trợ lý ảo của shop gấu bí ngô
"cước về địa chỉ của bạn gửi qua viettel post là 323k ạ
Ok c gửi e chưa",cước về địa chỉ của bạn gửi qua viettel post là 323k ạ ok chị gửi em chưa
"vì nếu đặt sáng kho có thể giao trong ngày nhưng bh a đặt mai ben e ms giao dk ạ
Thế ạ
Mai e lại ko ở nhà lúc nào :(",vì nếu đặt sáng kho có thể giao trong ngày nhưng bảo hành ạ đặt mai ben em mới giao được ạ thế ạ mai em lại không ở nhà lúc nào
"Bên mình còn bán hồ cho bé bơi kg
Bé sơ sinh bạn",bên mình còn bán hồ cho bé bơi kg bé sơ sinh bạn
"vì hag bên e k cos ẵn
Thế mai bạn giao qua toà hateco, yên sở, hoàng mai giúp mình nhé",vì hag bên em không có ẵn thế mai bạn giao qua toà hateco yên sở hoàng mai giúp mình nhé
"Shop ơi cho mình xin số đt với
Mình đặt hàng xe này
https://shopee.vn/Xe-%C4%91%E1%BA%A9y-2-chi%E1%BB%81u-cao-c%E1%BA%A5p-Mastela-i.36371562.3513739177
Trong chiều nay shop chuyển cho mình đc ko
Xe màu đen nhé
Địa chỉ số 24 ngõ 156 hồng mai
Số điện thoại 0986249838
Shop liên hệ mình nhé",shop ơi cho mình xin số điện thoại với mình đặt hàng xe này https //shopê vn/xe-%c4%91%e1%ba%a9y-2-chi%e1%bb%81u-cao-c%e1%ba%a5p-máela-i 36371562 3513739177 trong chiều nay shop chuyển cho mình được không xe màu đen nhé địa chỉ số 24 ngõ 156 hồng mai số điện thoại 0986249838 shop liên hệ mình nhé
Cho em hỏi chiếc này giá bn vậy ah,cho em hỏi chiếc này giá bao nhiêu vậy ạ
ghế này bn ạ,ghế này bao nhiêu ạ
"cho e xin giá vs ạ
vs lại cái nôi đưa đa năng nữa ạ",cho em xin giá với ạ với lại cái nôi đưa đa năng nữa ạ
"a ơi a tiện ck k ạ e book grab cho a
Ko thanh toán trực tiếp hả e? Thế e cho A stk! Tưởng sáng e ship 😳",ạ ôi a tiện chuyển khoản không ạ em bô grab cho a không thanh toán trực tiếp hả em thế em chờ ạ số tài khoản tưởng sáng em ship
"bh a có ở đó chưa ạ
Em cứ mang qua anh gọi người lấy",bảo hành ạ có ở đó chưa ạ em cứ mang qua anh gọi người lấy
ship quy nhơn bao nhiu ạ,ship quy nhơn bao bao nhiêu ạ
Giá bnhieu shop,giá bao nhiêu shop
https://m.facebook.com/story.php?story_fbid=2351953035115021&id=1454523434857990,https //m facebook com/story php story_fbid=2351953035115021 id=1454523434857990
"ck xong a báo e nha
A ck cả tiền ship rồi e nhé",chuyển khoản xong a báo em nha à chuyển khoản cả tiền ship rồi em nhé
"Ship hộ em cái ghế gội đầu với
Ghế gội babyhop í chị, e đã ck 680k rồi chị",ship hộ em cái ghế gội đầu với ghế gội babyhop í chị em đã chuyển khoản 680k rồi chị
Dạ vậy hả ch. E chưa nhận đc. E báo lại ch sau nha,dạ vậy hả ch em chưa nhận được em báo lại ch sau nha
"Bạn hỏi mẫu nôi nào ạ?
loại này ạ",bạn hỏi mẫu nôi nào ạ loại này ạ
Giá bạn ơi,giá bạn ơi
Gọi số ck chị giao hàng nhé,gọi số chuyển khoản chị giao hàng nhé
Gia bn shop,giá bao nhiêu shop
mai ben e ms ve ạ,mai ben em mới về ạ
"mai bên mình giao nha
Goi 0931666999
0855211969 anh thắng nhé
Giao luon chiều nay đi
Âu co chay ra đấy có tý",mai bên mình giao nhau goi 0931666999 0855211969 anh thắng nhé giao luôn chiều này đi âu cơ chay ra đấy có tý
