sentence,og_sentence,kmeans_cluster,x,y
cho thử bằng miệng rồi nói không,Chỉ thử bằng miệng r nói không,0,3.821657,9.263042
mình mới được biết,Mình mới đc biết,1,-23.505381,-20.866402
và đồng là hôm nay,Và đúng là hnay,5,37.545616,6.228431
và mất công đến,Và mất công đến,5,26.022516,57.551918
thì mình mới mấy công gửi,Thì mình mới mấy công gửi,3,23.770123,-37.672379
máy thực sự có mùi,Máy thực sự có mùi,2,-8.639123,-33.630962
người phễu cũng có mùi,Ngửi phễu cũng có mùi,3,31.897129,1.771122
thực sự là thử ở nhà mùi rất rõ,Thực sự là thử ở nhà mùi rất rõ,0,-17.495693,-12.654164
bên bạn,Bên b,4,5.428736,37.513344
phí sưca mình mua,Pha sưca mình mua,1,-47.169498,22.58604
máy,Máy,4,-8.475421,39.473854
không biết gắn vào đâu ạ,Ko biết gắn vào đâu ạ,4,-2.380376,27.422823
thấy cái này rời ra,Thấy cái này rời ra,5,37.086628,12.57802
mình ở lạng sơn nếu mình lấy thì vận chuyển thế nào bạn nhỉ,M ở Lạng Sơn nếu m lấy thì vận chuyển tnao b nhỉ,4,-24.229969,55.57251
tư vấn giúp mình,tư vấn giúp mình,2,23.714888,-60.003956
hôm trước mình thấy bạn đăng loại nào 999 không ấy nhỉ,hôm trước mình thấy b đăng loại nào 999 k ấy nhỉ,0,6.957036,23.771206
máy mình lúc nào cũng bình thường,máy mình lúc nào cũng bthg,0,-8.148548,22.097618
mình vừa nước với bạn ý rồi,mình vừa nc vs bạn ý rồi,0,-17.880867,1.6442
bạn kiểm tra giúp mình,bạn ktra giúp mình,2,21.120811,-56.882496
thanh đi quanh lại bảo đọc số giao mình lại ra 1 số không phải của mình,quanh đi quanh lại bảo đọc số giao mình lại ra 1 số k phải của mình,0,-4.401636,10.786442
lại bảo gọi mình không được,lại bảo gọi mình k đk,1,-25.958111,-14.311252
cuối năm gửi fêback cho nhà gấu bí,Cuối năm gửi feedback cho nhà Gấu Bí,0,-8.164546,-5.948821
1 2 hôm nữa mình qua nhé,"1,2 hôm nữa mình qua nhé",0,0.951099,-15.737882
mình ở gần nhà bạn,Mình ở gần nhà bạn,2,-9.64374,-34.86615
thảm này còn khuyến mại kh ạ,Thảm này còn km kh ah,0,6.754559,23.117937
rồi báo shop,Rồi báo shop,2,-14.723876,-22.058607
kiên giang shop,Kiên giang shop,0,-18.178551,-18.297935
em gọi rồi chị nhé,E gọi r c nhe,1,-54.24469,4.902252
để mình về độ đã nhé,Để mình về đo đã nhé,5,7.443889,33.705631
0936168188,0936168188,2,-7.928848,-33.176453
59 lương ngọc quyến - hoàn kiếm - hà nội,59 lương ngọc quyến - hoàn kiếm - hà nội,0,-3.568377,-13.484341
860k là cái tập đi đúng không ạ,860k là cái tập đi đúng ko ạ,2,-24.579985,-56.151905
đó ra đã thế,Đổ ra đã thế,0,4.479245,15.172949
con mình bóc nguyên hộp,Còn mình bóc nguyên hộp,5,14.652161,23.167217
để chân có rồi,Để chân có rồi,3,43.963009,1.957549
tác dụng của nó là gì nhỉ,Tác dụng của nó là gì nhỉ,4,-26.263945,32.805504
đâu,Đâu,5,39.657021,36.555916
mình không biết lắp vào đâi,M ko biết lắp vào đâi,1,-37.301739,-1.820416
mình nhận được rồi,M nhận dc rồi,1,-63.944252,-23.073971
anh đó gọi cho mình rồi,Anh đó gọi cho mình rùi,3,49.339878,-30.658281
mai giao cho mình trg buổi sáng nhé mình cần gấp,Mai giao cho mình trg buổi sáng nhé mình cần gấp,3,26.780762,-3.54069
vậy ạ,vậy ạ,4,3.138219,76.268066
giao trong hôm nay sớm cho mình nhé,giao trong hôm nay sớm cho mình nhé,3,50.828629,-39.662956
mình ở sơn la,mình ở sơn la,2,-21.478739,-29.579567
cái mình lấy nè,Cái mình lấy nè,3,50.580517,1.075338
chị đặt rồi nhé nhớ lấy đúng hươu hồng nha em,"C đặt r nhé , nhớ lấy đúng hươu hồng nha e",0,3.997434,2.407903
chị kiểm tra giúp em,C kiểm tra giúp em,2,4.149869,-28.734674
em chuyển tiền rồi đó ạ,Em chuyển tiền rùi đó ạ,1,-26.938686,-10.937772
ý em là thứ 2 hay thứ mấy nhận được ạ,Ý em là thứ 2 hay thứ mấy nhận được ạ,1,-54.677151,-18.262266
thứ 2 gửi nhận được ạ,Thứ 2 gửi nhận được ạ,1,-57.686615,-16.709862
mai nhận được không chị,Mai nhận đk k c,2,-34.098667,-58.68536
để em cần tài chính,đẻ e căn tài chính,3,13.183658,-29.201418
vậy nên mua combi ạ,Vậy nên mua combi ạ?,0,-10.378675,19.242329
shop mở cửa tới hnao ạ,shop mở cửa tới hnao ạ,4,-19.848412,33.397675
tối cứ giao đi,Tối cứ giao đi,0,-10.364484,8.530661
gối là mấy giờ,Tối là mấy giờ?,3,26.164095,-24.996775
khoảng mấy giờ để mình sắp xếp người,Khoảng mấy giờ để mình sắp xếp người,0,13.073662,12.087642
chưa gửi hả shop,Chưa gửi hả shop??,0,-0.833242,-21.865425
đ/c khánh 0914 634 889 sảnh căn hộ - tháp bạn - díovẻ complẽ 302 cầu giấy,"Đ/c: khánh 0914.634.889
Sảnh căn hộ - tháp B - discovery complex
302 cầu giấy",0,-6.195654,-1.540337
em nhờ ̀ng nhận giúp vì em không ở nhà,E nhờ ̀ng nhận giúp vì e ko ở nhà,4,-12.052737,21.951082
0344154925 chị ạ,0344154925 chị ạ,1,-29.620626,-19.435009
0344154925,0344154925,4,-38.317406,27.554218
chị check giúp em,Chị check giúp e,3,21.185066,-47.953526
em 1 xúc xắc nữa nhé,E 1 xúc xắc nữa nhé,3,47.171299,1.564357
nhưng aroma thì dùng được đến mấy tuổi,Nhưng aroma thì dùng được đến mấy tuổi,1,-22.462765,-12.949198
ui không ngả được ạ,Ui không ngả dc ạ,3,44.835506,-11.03636
mình chọn số rồi ai,Mh chèn số rồi ai,1,-40.212578,3.817867
đăng giúp mình nha shop,Đăng giúp mình nha shop,2,16.379757,-51.90818
mình cần tly lại 3 5 triệu có bớt ạ,"Mh cần tly lại 3,5tr có bớt ạ.",0,4.902008,1.273851
giao bé lớn rồi không chịu dùng nữa,Giừo bé lớn r ko chịu dùng nữa,0,15.678937,-3.068698
bé dùng được 1 tgian ngắn thôi ạ,Bé dùng dc 1 tgian ngắn thôi ạ,1,-24.684893,3.07325
mình mua nôi rung bên shop,Mình mua nôi rung bên shop,1,-42.029099,-2.261913
chuyển cho mình về ngõ 217 đê la thành nhà ạ7 khu văn phòng quốc hội,Chuyển cho mình về ngõ 217 đê la thành nhà a7 khu văn phòng quốc hội,0,9.627411,-6.987165
45k/c ạ,45k/c ah?,1,-30.731316,17.194691
135 xã đàn,135 Xã đàn,1,-23.109346,-6.668826
bạn cho mình xin kích thước với,b cho mình xin kích thước vs,3,61.695751,-20.727684
loại giống vầy,Loại giống vầy,4,-14.493012,70.740768
phần thân thì 74,Phần thân thì 74,5,36.474163,26.906551
tháng cầu thang chỗ cao nhất cao 79cm,Thành cầu thang chỗ cao nhất cao 79cm,5,19.63549,18.999346
cộng 90cm,Rộng 90cm,4,-39.326908,48.248077
bên mình không tặng kèm 2 bình sữa hả bạn,bên mình k tặng kèm 2 bình sữa hả b,0,-17.490456,7.641407
không gian nhà mình nhỏ nên mình không lấy cầu trượt và xích đu,Ko gian nhà mình nhỏ nên mình ko lấy cầu trượt và xích đu,1,-50.11565,-11.741175
bạn cho mình xin hình nhé,Bạn cho mình xin hình nhé,3,60.341599,-24.815958
bạn oai,B oai,1,-55.544487,-5.934201
gọi không được,Gọi ko được,3,41.50605,-9.71806
hôm qua tiệm mình làm đến 19h tối mà,Hôm qua tiệm mình làm đến 19h tối mà,0,-18.466906,11.932096
họ không hề gọi mình luôn áh,Họ ko hề gọi mình luôn áh,0,0.108437,15.172673
bưu tá đi phát hôm qua rồi,Bưu tá đi phát hôm qua rồi,1,-24.963076,6.205713
check vận đơn ra không liên hệ được với ngừoi nhận,Check vận đơn ra ko liên hệ được vs ngừoi nhận,5,16.950171,34.560791
bạn cho dùm mình,Bạn cho dùm mình,5,24.893698,34.090122
mình cần giao về nguyên chí thanh hà nội bạn ạ,Mình cần giao về Nguyễn Chí Thanh Hn bạn ạ,0,-12.910955,-16.947771
shop mình mở cửa đến hôm nào à,Shop mình mở cửa đến hôm nào ak,0,7.943195,-24.899918
cho mình thêm bộ xúc xắc gặm nướu với 2 cái yếm chống thấm nữa ạ,Cho mình thêm bộ xúc xắc gặm nướu với 2 cái yếm chống thấm nữa ạ,0,21.224808,-5.758232
em đặt 1 thanh chắn 2m và 1 thanh chắn 2m2,E đặt 1 thanh chắn 2m và 1 thanh chắn 2m2,5,35.391953,16.674282
không ạ,Ko ạ,2,-24.810768,-69.626312
gửi lại ảnh giúp mình,Gửi lại ảnh giúp mình,2,20.35128,-51.960876
cho mình xin kích thước,Cho mình xin kích thước,3,62.170544,-21.125046
cho mình xin kích thước nhé,cho mình xin kích thước nhé,3,62.033966,-21.113253
người quá,Ngại quá,4,-36.783993,51.291561
đi tặng mà bị hỏng,Đi tặng mà bị hỏng,3,25.319237,-20.588493
mình mua được hơn 1 tháng,Mik mua đc hơn 1 tháng,1,-41.673187,1.437344
jo mở ra nó không xì khói nước,Jo mở ra nó ko xì khói nước,0,15.354364,6.994835
mình hỏi chút sho,Mik hỏi chút sho,3,64.00457,-29.361788
bạn oie,Bạn oie,1,-61.759708,32.270947
ạ được bạn ạ lỗi do mình mà,À được b ạ lỗi do m mà,2,-14.755857,-27.416462
vì tối a xã mới ở nhà lắp nên chưa khui,Vì tối a xã mới ở nhà lắp nên chưa khui :)),0,9.903551,-8.182904
chưa bạn ạ,Chưa b ạ,1,-42.907085,-13.863962
hộp mới nhận hôm nay mình cũng chưa khui nữa vì bận,Hộp mới nhận hnay m cũng chưa khui nữa vì bận,0,1.152357,26.429787
nên mình không biết,Nên m k biết,1,-38.488724,-0.695984
ở cái thảm nó ở hộp cái xích đu,Ơ cái thảm nó ở hộp cái xích đu,1,-35.517651,4.915113
thanh chắn 2m nhé,Thanh chắn 2m nhé,5,13.795584,23.990932
dùng được cho bé đến mấy tuổi,dùng đc cho bé đến mấy tuổi?,3,12.967673,-25.176992
nên hỏi muộn,Nên hơi muộn,5,9.124874,40.440742
mình từ sóc sơn lên,Mình từ sóc sơn lên,5,28.005135,29.289122
thế bgio có thanh đó à bạn,Thế bgio có thanh đó à b,2,-26.769325,-42.796486
ôi vậy à bạn,Ôi vậy à b,1,-48.585308,-21.368113
khoảng 85 bạn ạ,Khoảng 85 b ạ,1,-40.769108,-14.470325
tớ bận gọi điện,Tớ bận gọi điện,0,8.139054,-2.700234
0944497993,0944497993,4,-46.379463,43.673119
đâu,Đâu,5,39.65715,36.556038
0944497993,0944497993,4,-46.377731,43.67326
0909510440,0909510440,4,-19.834249,52.706348
133 dương bá trạc p1 q8,"133 dương bá trạc, p1. q8",0,-8.351085,-6.657156
cho mình xin link với,Cho mình xin link vs,3,60.164391,-26.40481
grab qua lấy luôn,Grab qua lấy luôn,2,-19.70612,-31.045485
để mình đjă,Để mình đjawt,5,47.408264,39.291733
để grab được không,Để grab được k,2,-25.931786,-58.407623
shop có thể cài đặt phần vận chuyển,Shop có thể cài đặt phần vận chuyển,0,18.480312,-9.810164
máy hút mũi không shop,Mây hút mũi k shop,1,-27.652155,-16.207563
còn,Còn,3,37.80172,-38.119648
mình mua hàng bên nhà bạn rồi mà,Mình mua hàng bên nhà bạn rồi mà,2,-19.899979,-21.747984
bộ này nữa,Bộ này nữa,2,13.904378,-64.827461
còn ảnh này là mã cũ ạ,Còn ảnh này là mã cũ ạ,1,-49.233688,-27.238106
mà mới là ảnh này ạ,Mã mới là ảnh này ạ,1,-50.182976,-15.158063
ủa thế làm sao cho nó phun ra theo vòi ạ,ủa thế làm sao cho nó phun ra theo vòi ạ?,1,-33.290932,7.511318
nhanh nhất lên là nước lại thoát ra theo mấy cái lỗ bên dưới ấy ạ,Nhưng nhấc lên là  nước lại thoát ra theo mấy cái lỗ bên dưới ấy ạ,0,9.793165,6.850807
☹️,☹️,4,-0.690198,44.283318
hay hỏng nên mới bị nước ra ngoài vậy ạ,Hay hỏng nên mới bị nước ra ngoài vậy ạ?,0,4.017306,20.100935
thoát ra dưới chân đấy ạ,Thoát ra dưới chân đấy ạ,4,-14.362293,21.226488
0989144779,0989144779,2,-7.497416,-30.368017
thế ạ,Thế ạ.,5,28.824875,78.126274
tớ lấy thêm hộp trang điểm size lớn nhé,Tớ lấy thêm hộp trang điểm size lớn nhé,0,-5.849855,12.132048
cái này còn hơn 100k à,Cái này còn hơn 100k à,3,25.963346,-10.521032
mẫu trên ạ,mẫu tròn ạ,1,-35.746887,-22.61747
0357368468,0357368468,4,-20.956192,40.22044
to n03t4 chung cư ngoại giao đoàn gần ngã tư võ chí công - xuân la,Toà N03t4 chung cư Ngoại giao đoàn (gần ngã tư Võ Chí Công - Xuân La),0,8.471914,0.486677
và 1 det xúc xắc này,Và 1 det xúc xắc này,0,22.713461,8.976275
đúng rồi bạn ạ,Đung rồi b ạ,1,-74.861122,-2.609227
bộ này bạn ạ,Bộ này bạn ah!,1,-42.415947,-19.729593
anh đấy bạn,Ảnh đấy bạn,3,17.506376,-15.73307
shop cho mình hỏi,Shop cho mình hỏi,3,64.696678,-34.108013
luôn trong hôm nay nhé ạ,Luôn trong hôm nay nhé ạ,5,34.134483,9.100145
0904838456,0904838456,3,50.551964,-4.334304
2 khay nhé,2 khay nhé,1,-30.791718,-12.323483
shop ở đoạn nào í nhỉ,Shop ở đoạn nào í nhỉ,3,28.970043,-16.290049
gửi giúp mình 2 khay nhé,Gửi giúp mình 2 khay nhé,3,21.889204,-53.569607
báo lại mình tổng thanh toán,Báo lại mình tổng thanh toán,1,-24.709581,-15.797019
mẫu này ạ,Mẫu này a,1,-45.220921,-35.78223
thế ạ,Thế ạ,5,28.824875,78.126274
mình mua tặng bé 1t,Mình mua tặng bé 1t,1,-45.202,-2.187647
đúng rồi,Đúng r,1,-72.368195,-8.927433
vậy thôi bạn ạ,vậy thôi b ạ,2,-31.451857,-31.650322
ở thông tin thôi có,ở TT Trôi cơ,3,47.670288,-1.864238
bạn gói hàng cẩn thận giúp mình nha mình ở xa đổi trả khó mình sợ bị gãy này kia thì khổ,Bạn gói hàng cẩn thận giúp mình nha. Mình ở xa. Đổi trả khó. Mình sợ bị gãy này kia thì khổ,0,10.572398,-20.844744
nhờ cho mình số bill mhé,Nhớ cho mình số bill mhes,3,52.407619,-32.922421
bạn gửi đi bạn,Bạn gửi đi bạn,4,-2.365084,29.446491
mình nhận rồi sẽ thanh toán,Mình nhận r sẽ thanh toán,1,-54.058929,-26.216228
cho em xin kích thước với ạ,Cho e xin kích thước vs ạ,2,11.510095,-46.863621
cho em xin kích thước nưã ạ,Cho e xin kích thước nưax ạ,0,11.221869,-17.117453
shop mình ở trên tay hồ ạ,Shop mình ở trên tây hồ ạ,2,-16.475071,-31.448298
shop mình ở đâu ạ,Shop mình ở đâu ạ,2,-15.84572,-42.30431
mình lắp được rồi,Mình lắp đc rồi,1,-58.127327,4.233196
báo giúp mình nhé,Báo giúp minh nhé,3,26.681541,-58.788082
bộ này với thảm,Bộ này với thảm,5,44.294125,16.735956
shop gửi hàng cho mình chưa,Shop gui hàng cho mình chưa,3,56.632565,-34.293922
số hình,Số mình,1,-53.142536,19.958855
0969142599,0969142599,3,44.290394,-0.870029
người nhận mới mai phòng kế toán,Người nhận: Ms Mai phòng kế toán,4,-39.431171,25.72625
lô 41c2 kcn quang minh mê linh hà nội,"Lô 41c2, KCN quang minh, mê linh, hn",2,-3.569127,-23.447121
công ty cp kỹ thuật và xây dựng phòng sạch chun wô,Công ty cp kỹ thuật và xây dựng phòng sạch chun woo,0,17.440292,-11.579128
khu đô thị pháp vân hoàng liệt hoàng mai hà nội,"Khu đô thị pháp vân, hoàng liệt , hoàng mai hà nội",0,17.578102,2.721878
quây 1 8x2m và cầu trượt xích đu,"Quây 1,8x2m và cầu trượt xích đu",1,-50.353737,-11.013321
máy của nước nào bạn,máy của nước nào b,4,-28.518753,52.995525
kích thước như thế nào vậy shop,kích thước ntn v shop,4,-31.689812,68.561569
vậy để mình qua mua trực tiếp,Vậy để m qua mua trực tiếp,5,29.992792,39.246838
hơn tây,Sơn tây,4,-28.071695,22.272511
toyota thăng long 316 cầu giấy,"Toyota Thăng Long, 316 Cầu Giấy",3,38.045795,-2.672796
nguyễn quang vinh 0971123125,Nguyễn Quang Vinh 0971123125,2,-18.298578,-30.549534
bạn check giúp mình,B check giúp mình,2,20.480766,-59.036716
nhắn mình tổng số tiền,nhắn mình tổng số tiền,3,17.263947,-23.20965
bạn mình ở hà nội nhận hộ,bạn mình ở HN nhận hộ,2,-13.148565,-39.580486
mình qua lấy luôn được không bạn,Mình qua lấy luôn đc ko b,2,-21.934649,-61.255756
ngân hàng techcom,Ngân hàng techcom,2,-14.342318,-45.23077
0938220166,0938220166,1,-27.289948,6.672734
233 lê trọng tấn p sơn kỳ q tân phú,233 lê trọng tấn p sơn kỳ q tân phú,0,-6.394938,17.547598
hjcc,Hjcc,5,18.653322,58.363876
bạn giao buổi sáng cho mình được không bạn,B giao buổi sáng cho m đc k b?,2,-18.41094,-66.796898
bạn check nhé,B check nhé,1,-68.772987,14.178455
mình là tháo 0931252989 sảnh r4 royal city nhé,Mình là Thao 0931252989 sảnh r4 royal city nhé,0,-5.259261,22.557541
mình thử lại luôn,Mình thử lại luôn,0,-10.989855,-3.932518
đang đơ chút nhé,Đang đơ chút nhé,0,5.028753,-15.816956
0963321700,0963321700,4,-7.146815,48.012699
mình không gửi kịp,Mình k gửi kịp,1,-38.407848,0.604356
không người ta lên máy bay,K ngta lên máy bay,0,-0.076295,-23.211391
haizza,Haizza,2,-5.00488,-39.975048
không trả tiền mặt hả shop,K trả tiền mặt hả shop,1,-25.668297,8.049418
ghế là 680k đúng không bạn,Ghế là 680k đúng k bạn?,2,-26.263754,-61.866959
thảm xpe của hãng nào,Thảm xpe của hãng nào ?,0,8.649981,22.196085
đây nữa ạ,Đây nữa ạ,4,-8.249019,55.632416
ôi shop nghỉ rồi ạ tớ đang định mua cái thanh chắn cầu thang,"Ôi shop nghỉ rồi ah, tớ đang định mua cái thanh chắn cầu thang",0,8.24962,-12.375551
thế ạ,Thế ạ,5,28.824875,78.126274
tớ đang cần gấp,T đang cần gấp,1,-27.263823,10.942192
thành phố thanh hoá,TP THANH HOÁ,2,5.368209,-76.630356
tớ ở thành hoá,T ở thanh hoá,2,1.599863,-26.17926
cái cũi quây báo tiên em,Cái cũi quây bao tiên e,1,-27.229412,-20.577629
46 dương quảng hàm nhé,46 dương quảng hàm nhé,4,1.233175,55.228237
còn nhìu mẫu,Còn nhìu mẫu,4,-28.255659,59.692753
cứ gửi bthuon cũng được,Cứ gửi bthuon cũng dc,0,-0.707513,-4.047837
uh mình sợ quá lâu thôi,"Uh,m sợ quá lâu thôi",5,14.292965,49.634083
uh gio đặt gửi tới quảng ngãi thì bao lâu nhận được,"Uh,gio đặt gửi tới Quảng Ngãi thì bao lâu nhận được",1,-33.712315,-3.971549
lọai trên chắc chắn hơn không chị,Lọai trên chắc chắn hơn ko c,2,-19.561037,-19.225796
còn mẫu này ạ,Còn mẫu này ạ,1,-45.232983,-35.727421
bình sữa tini 1 tặnh 1 á chị,Binh sữa Tini 1 tặnh 1 á c,0,-6.411166,-8.083705
đã không,Dạ ko,3,37.58205,-44.696758
bóng vẽ hollq,bảng vẽ hollq,4,-3.270717,37.534672
đàn nhạc thôi đúng không ạ,Đàn nhạc thôi đúng ko ạ,2,-27.353052,-61.255722
đến an giang,Đến an giang,2,-2.115963,-26.165991
gửi hàng bao lâu vậy ạ,Gửi hàng bao lâu v ạ,4,-15.600391,39.620037
gửi mình mua luôn nhé,Gửi m mua luôn nhé,1,-46.706654,24.666157
bạn có mẫu yếm silicon nào,B có mẫu yếm silicon nào,1,-33.561928,7.25573
2 loại của nước nào vậy ạ,2 loại của nước nào v ạ,0,-7.487163,15.559665
được số 26 ngách 8/138 làng bún phú đô đường lê quang đạo nam từ liêm hà nội,"Đc: số 26 , ngách 8/138, làng bún Phú Đô, đường Lê Quang Đạo, Nam Từ Liêm,HN",0,6.318768,7.147844
hãng gì thế shop,Hãng gì thế shop,4,-36.023972,26.396646
muốn đặt mua bộ này ạ,muốn đặt mua bộ này ạ,5,46.350475,14.939509
về mình tự lắp ráp hả shop,về m tự lắp ráp hả shop,1,-52.275761,23.208145
bao gồm cầu trượt bập bênh và bóng rổ đó à,bao gồm cầu trượt bập bênh và bóng rổ đó à,4,-32.273506,21.527636
550k cả bập bênh hả chị,550k cả bập bênh hả c,4,5.399318,43.187355
chính xác là 1m45,Chính xác là 1m45,4,-23.262062,22.277153
nhà mình tầm 1m45 thôi,Nhà mình tầm 1m45 thôi,1,-41.448757,-33.981167
và 1 thanh nối 3 6m,"Và 1 thanh nối 3,6m",5,35.653084,39.895672
tầm 6-7h,Tầm 6-7h,3,29.836895,-11.579493
mình gửi nhé,M gửi nhé,1,-61.350651,16.864208
thế bạn nhờ giúp ngoài giúp mình nhâ,Thế b nhờ giúp ngoài giúp m nhaaa 😍,3,15.630461,-38.717152
lật được để làm bàn phẳng vẽ phải không bạn,Lật dc để làm bàn phẳng vẽ phải k bạn,2,-14.207747,-54.342796
liên hệ,Liên hệ,1,-72.718033,14.067225
cái này 4250k hả shop,Cái này 4250k hả shop,3,25.171968,-11.617158
có gì mình gọi sau nhé,Có gì mình gọi sau nhé,0,-15.398429,-12.298991
lâu quá,Lâu quá,1,-57.577377,29.769888
nhưng vẫn chưa thấy giao hàng bạn ạ,Nhưng vẫn chưa thấy giao hàng b ah,3,20.321062,-35.589287
mình gọi tổng đài rồi,Mình gọi tổng đài rồi,0,24.866875,2.891369
ừ nhưng mình chắc mắc là không hề gọi để giao nhưng lại báo là giao không thanh công,Ừ nhưng m thắc mắc là ko hề gọi để giao nhưng lại báo là giao ko thành công,0,5.841951,11.484908
mà vẫn đơn đấy bạn,Mã vẫn đơn đấy b,4,-10.865489,34.140793
shopêtp 81811688,SHOPEEVTP81811688,1,-39.222195,-26.409166
không,Ko,3,76.931297,2.138589
bạn có gối chaó nguoc cho bé hơn 1 tuổi jo,Bạn có gối chaos nguoc cho bé hon 1 tuổi jo,0,-2.925239,-2.153856
bánh odi,Bánh odi,1,-35.334824,-4.221333
mình có tiki,Mình có Tiki,3,42.482937,1.484851
0909371772 chị vui,"0909371772, chị Vui",5,22.187677,17.384558
196 kinh dương vương p an lac a quận bình tân,"196 Kinh Dương Vương , p.An Lac A quận Bình Tân",0,-11.741457,3.929194
size 31 5 ý,Size 31.5 ý,4,-25.267235,37.992886
size to còn 430k à,Size to còn 430k à,0,4.940428,-6.047719
size to mà bạn,Size to mà bạn,2,-26.46376,-25.88118
mình mua tặng,Mình mua tặng,1,-48.007206,23.726589
hàng chính hãng đúng không bạn,Hàng chính hãng đúng ko bạn,2,-27.133253,-62.752735
0978686667,0978686667,2,-20.465714,-38.69384
số 40 ngõ 61 giang văn minh,Số 40 ngõ 61 giang văn minh,0,-2.666036,-11.315679
size to,Size to,1,-29.582325,-19.60877
thế cái này ạ,Thế cái này ạ?,5,56.430611,7.592777
bạn giao sớm giúp mình nhé,bạn giao sớm giúp mình nhé,3,26.548817,-57.688622
mình vừa order,mình vừa order,1,-40.4268,-4.527561
cho bé 7m,cho bé 7m,5,32.081501,45.58279
cốc tập hút richell nha,cốc tập hút richell nha,0,-11.62132,16.801582
ạ tây hồ,à tây hồ,1,-33.549702,0.258847
shop mình ở đâu nhỉ,shop mình ở đâu nhỉ,2,-15.657965,-41.207211
nhà mình lúc nào cũng có người ở nhà,Nhà mình lúc nào cũng có ng ở nhà,1,-45.337959,9.748848
hoá ra đây là hàng nhập khẩu dùng nguồn 220v đ,Hoá ra đây là hàng nhập khẩu dùng nguồn 220v đ,4,-14.23413,41.874115
mình mua cái tiến áp về nên dùng không được,M mua cái biến áp về nên dùng k đc,4,-14.985182,34.528172
mình liên hệ với hồng hỏi lý do được rồi,M liên hệ với hãng hỏi lý do đc rồi,4,-13.306221,25.006657
các dòng thì mình biết rồi cơ mà đầy nước mà nó vẫn báo hết nước là sao bạn nhỉ,Cách dùng thì m biết rồi. Cơ mà đầy nước mà nó vẫn báo hết nước là sao b nhỉ?,0,-13.214196,8.068801
lần đầu dùng bị bỡ ngỡ quá,Lần đầu dùng bị bỡ ngỡ quá,0,-0.593136,-1.947187
cho nước vào khay chưa nước sau đoa dùng các chức năng nó cứ cảnh báo là hết nước là sao bạn nhỉ,"Cho nước vào khay chưa nước , sau đoa dùng các chức năng nó cứ cảnh báo là hết nước là sao bạn nhỉ",0,-6.449557,5.250578
konig kid cung hét hả,konig kid cung hét hả,4,-19.128368,17.85058
cái này mình dùng ở thành phố hồ chí minh,Cái này mình dùng ở tphcm,2,4.788893,-78.848946
khuyến mại tới bao giờ shop,Km tới bao giờ shop,5,34.536057,20.223591
ôi lâu quá t7 này mình lại về quê mất rồi,"Ôi lâu quá, t7 này mình lại về quê mất rồi",0,-22.615107,13.925921
mấy mấy ngày shop,Mất mấy ngày shop,0,22.750393,3.465265
mai là 1 tuần rồi mà mình vẫn chưa nhân được,"Mai là 1 tuân rôi mà m
Vân chua nhân dc",0,-16.374958,2.669206
khoảng mấy ngày nhận được vậy bạn,Khoang mây ngay nhận dc vay b,1,-58.003399,-18.548302
da,Da,1,-62.855541,-43.041447
shop lấy em mẫu này nha,Shop lấy e mẫu này nha,1,-47.439686,12.033691
rồi shop nhé,Rồi shop nhé,0,-15.202863,18.01722
mình lấy máy này,Mình lấy máy này,5,42.545635,7.904338
tớ lắp rồi bạn ạ,Tớ lắp r b ah,1,-71.080376,-2.317876
