sentence,og_sentence,kmeans_cluster,x,y
mình mua nôi rung bên shop,Mình mua nôi rung bên shop,3,-1.39432,2.499429
chuyển cho mình về ngõ 217 đê la thành nhà ạ7 khu văn phòng quốc hội,Chuyển cho mình về ngõ 217 đê la thành nhà a7 khu văn phòng quốc hội,2,8.656532,61.076626
45k/c ạ,45k/c ah?,0,70.099335,3.966641
135 xã đàn,135 Xã đàn,0,90.590401,22.594782
bạn cho mình xin kích thước với,b cho mình xin kích thước vs,5,19.719297,-68.534554
loại giống vầy,Loại giống vầy,0,73.298813,-0.237721
phần thân thì 74,Phần thân thì 74,0,89.054474,9.178651
tháng cầu thang chỗ cao nhất cao 79cm,Thành cầu thang chỗ cao nhất cao 79cm,3,26.850805,-10.244247
cộng 90cm,Rộng 90cm,5,44.685581,-68.55899
bên mình không tặng kèm 2 bình sữa hả bạn,bên mình k tặng kèm 2 bình sữa hả b,4,-58.833126,-21.04269
không gian nhà mình nhỏ nên mình không lấy cầu trượt và xích đu,Ko gian nhà mình nhỏ nên mình ko lấy cầu trượt và xích đu,1,-25.723089,-23.110044
bạn cho mình xin hình nhé,Bạn cho mình xin hình nhé,1,-39.630199,-28.797377
bạn oai,B oai,0,77.805618,3.707232
gọi không được,Gọi ko được,4,-78.671349,27.407753
hôm qua tiệm mình làm đến 19h tối mà,Hôm qua tiệm mình làm đến 19h tối mà,2,-8.979046,49.57489
họ không hề gọi mình luôn áh,Họ ko hề gọi mình luôn áh,0,38.228329,31.462732
bưu tá đi phát hôm qua rồi,Bưu tá đi phát hôm qua rồi,0,32.937508,36.208138
check vận đơn ra không liên hệ được với ngừoi nhận,Check vận đơn ra ko liên hệ được vs ngừoi nhận,0,26.295288,29.730665
bạn cho dùm mình,Bạn cho dùm mình,4,-27.855526,-6.958298
mình cần giao về nguyên chí thanh hà nội bạn ạ,Mình cần giao về Nguyễn Chí Thanh Hn bạn ạ,2,-31.182058,64.924553
shop mình mở cửa đến hôm nào à,Shop mình mở cửa đến hôm nào ak,4,-39.65313,7.813954
cho mình thêm bộ xúc xắc gặm nướu với 2 cái yếm chống thấm nữa ạ,Cho mình thêm bộ xúc xắc gặm nướu với 2 cái yếm chống thấm nữa ạ,0,48.297356,-4.841485
em đặt 1 thanh chắn 2m và 1 thanh chắn 2m2,E đặt 1 thanh chắn 2m và 1 thanh chắn 2m2,3,-9.245553,-18.437374
không ạ,Ko ạ,4,-89.62735,7.303258
gửi lại ảnh giúp mình,Gửi lại ảnh giúp mình,4,-59.428162,16.516624
cho mình xin kích thước,Cho mình xin kích thước,5,20.982342,-69.746414
cho mình xin kích thước nhé,cho mình xin kích thước nhé,5,20.632627,-68.537025
người quá,Ngại quá,2,-36.202061,59.515823
đi tặng mà bị hỏng,Đi tặng mà bị hỏng,2,-11.097312,31.376591
mình mua được hơn 1 tháng,Mik mua đc hơn 1 tháng,4,-64.990585,-25.269676
jo mở ra nó không xì khói nước,Jo mở ra nó ko xì khói nước,0,53.32827,32.643215
mình hỏi chút sho,Mik hỏi chút sho,0,55.164532,19.334301
bạn oie,Bạn oie,0,77.849182,4.380993
ạ được bạn ạ lỗi do mình mà,À được b ạ lỗi do m mà,4,-34.756092,7.496728
vì tối a xã mới ở nhà lắp nên chưa khui,Vì tối a xã mới ở nhà lắp nên chưa khui :)),2,-1.759728,58.667461
chưa bạn ạ,Chưa b ạ,4,-74.86644,10.540058
hộp mới nhận hôm nay mình cũng chưa khui nữa vì bận,Hộp mới nhận hnay m cũng chưa khui nữa vì bận,2,-11.402299,48.390079
nên mình không biết,Nên m k biết,4,-68.1726,1.416566
ở cái thảm nó ở hộp cái xích đu,Ơ cái thảm nó ở hộp cái xích đu,3,-10.178022,0.944479
thanh chắn 2m nhé,Thanh chắn 2m nhé,3,8.047215,-3.764552
dùng được cho bé đến mấy tuổi,dùng đc cho bé đến mấy tuổi?,4,-59.192371,5.647142
nên hỏi muộn,Nên hơi muộn,0,47.539955,18.860868
mình từ sóc sơn lên,Mình từ sóc sơn lên,2,3.78495,55.791134
thế bgio có thanh đó à bạn,Thế bgio có thanh đó à b,1,-7.914486,-45.503227
ôi vậy à bạn,Ôi vậy à b,3,10.900681,-19.926115
khoảng 85 bạn ạ,Khoảng 85 b ạ,3,40.673546,-12.181802
tớ bận gọi điện,Tớ bận gọi điện,0,36.950371,33.094669
0944497993,0944497993,5,68.304077,-42.907471
đâu,Đâu,2,26.606451,50.595272
0944497993,0944497993,5,68.304375,-42.907822
0909510440,0909510440,5,73.800629,-37.962467
133 dương bá trạc p1 q8,"133 dương bá trạc, p1. q8",5,38.685966,-62.715435
cho mình xin link với,Cho mình xin link vs,1,-37.66563,-31.673458
grab qua lấy luôn,Grab qua lấy luôn,2,13.44369,35.819817
để mình đjă,Để mình đjawt,2,17.403044,34.441181
để grab được không,Để grab được k,4,-39.397514,38.44804
shop có thể cài đặt phần vận chuyển,Shop có thể cài đặt phần vận chuyển,3,29.179167,12.379147
máy hút mũi không shop,Mây hút mũi k shop,3,-3.151063,-8.965667
còn,Còn,1,-13.664869,-71.507042
mình mua hàng bên nhà bạn rồi mà,Mình mua hàng bên nhà bạn rồi mà,4,-79.650322,-0.458685
bộ này nữa,Bộ này nữa,1,-15.624387,-68.975784
còn ảnh này là mã cũ ạ,Còn ảnh này là mã cũ ạ,3,7.923033,-37.938354
mà mới là ảnh này ạ,Mã mới là ảnh này ạ,1,-45.756992,-59.275131
ủa thế làm sao cho nó phun ra theo vòi ạ,ủa thế làm sao cho nó phun ra theo vòi ạ?,3,25.608635,-15.579252
nhanh nhất lên là nước lại thoát ra theo mấy cái lỗ bên dưới ấy ạ,Nhưng nhấc lên là  nước lại thoát ra theo mấy cái lỗ bên dưới ấy ạ,3,15.908535,-7.126806
☹️,☹️,5,72.624115,-25.355698
hay hỏng nên mới bị nước ra ngoài vậy ạ,Hay hỏng nên mới bị nước ra ngoài vậy ạ?,4,-26.046247,9.668977
thoát ra dưới chân đấy ạ,Thoát ra dưới chân đấy ạ,0,39.655182,2.510989
0989144779,0989144779,5,67.577843,-30.482254
thế ạ,Thế ạ.,1,-3.101506,-78.33046
tớ lấy thêm hộp trang điểm size lớn nhé,Tớ lấy thêm hộp trang điểm size lớn nhé,3,28.837772,9.760795
cái này còn hơn 100k à,Cái này còn hơn 100k à,1,-0.138357,-46.238178
mẫu trên ạ,mẫu tròn ạ,1,-22.073851,-60.609486
0357368468,0357368468,5,76.893211,-40.779568
to n03t4 chung cư ngoại giao đoàn gần ngã tư võ chí công - xuân la,Toà N03t4 chung cư Ngoại giao đoàn (gần ngã tư Võ Chí Công - Xuân La),0,43.664921,54.017395
và 1 det xúc xắc này,Và 1 det xúc xắc này,0,48.275089,-5.888533
đúng rồi bạn ạ,Đung rồi b ạ,4,-74.097862,11.670618
bộ này bạn ạ,Bộ này bạn ah!,1,-22.618385,-70.93927
anh đấy bạn,Ảnh đấy bạn,4,-29.59553,8.875967
shop cho mình hỏi,Shop cho mình hỏi,1,-67.664955,-44.450405
luôn trong hôm nay nhé ạ,Luôn trong hôm nay nhé ạ,4,-65.301659,45.260258
0904838456,0904838456,5,67.013245,-35.499603
2 khay nhé,2 khay nhé,3,18.150488,10.237188
shop ở đoạn nào í nhỉ,Shop ở đoạn nào í nhỉ,3,13.598228,-16.658846
gửi giúp mình 2 khay nhé,Gửi giúp mình 2 khay nhé,2,-25.149775,36.140678
báo lại mình tổng thanh toán,Báo lại mình tổng thanh toán,2,-17.168373,29.954147
mẫu này ạ,Mẫu này a,1,-14.038074,-69.890808
thế ạ,Thế ạ,1,-3.006729,-78.598671
mình mua tặng bé 1t,Mình mua tặng bé 1t,3,6.840178,7.779213
đúng rồi,Đúng r,4,-50.467087,50.261665
vậy thôi bạn ạ,vậy thôi b ạ,1,-34.116707,-65.800552
ở thông tin thôi có,ở TT Trôi cơ,3,-11.119572,2.239553
bạn gói hàng cẩn thận giúp mình nha mình ở xa đổi trả khó mình sợ bị gãy này kia thì khổ,Bạn gói hàng cẩn thận giúp mình nha. Mình ở xa. Đổi trả khó. Mình sợ bị gãy này kia thì khổ,0,25.425888,27.49386
nhờ cho mình số bill mhé,Nhớ cho mình số bill mhes,2,20.225882,36.130932
bạn gửi đi bạn,Bạn gửi đi bạn,4,-78.047836,3.969298
mình nhận rồi sẽ thanh toán,Mình nhận r sẽ thanh toán,2,-12.324265,33.999367
cho em xin kích thước với ạ,Cho e xin kích thước vs ạ,5,19.730541,-68.775032
cho em xin kích thước nưã ạ,Cho e xin kích thước nưax ạ,5,18.975752,-63.290779
shop mình ở trên tay hồ ạ,Shop mình ở trên tây hồ ạ,2,-32.806572,65.521393
shop mình ở đâu ạ,Shop mình ở đâu ạ,4,-56.289783,11.725897
mình lắp được rồi,Mình lắp đc rồi,4,-74.691422,25.036217
báo giúp mình nhé,Báo giúp minh nhé,4,-61.301945,15.349946
bộ này với thảm,Bộ này với thảm,1,-21.0791,-67.673935
shop gửi hàng cho mình chưa,Shop gui hàng cho mình chưa,4,-71.306404,-12.055843
số hình,Số mình,4,-76.58638,-24.831654
0969142599,0969142599,5,68.265533,-32.160992
người nhận mới mai phòng kế toán,Người nhận: Ms Mai phòng kế toán,0,31.63662,35.006809
lô 41c2 kcn quang minh mê linh hà nội,"Lô 41c2, KCN quang minh, mê linh, hn",0,52.334072,60.522667
công ty cp kỹ thuật và xây dựng phòng sạch chun wô,Công ty cp kỹ thuật và xây dựng phòng sạch chun woo,5,40.012783,-47.927113
khu đô thị pháp vân hoàng liệt hoàng mai hà nội,"Khu đô thị pháp vân, hoàng liệt , hoàng mai hà nội",2,17.180986,76.983734
quây 1 8x2m và cầu trượt xích đu,"Quây 1,8x2m và cầu trượt xích đu",3,-4.59821,-27.781569
máy của nước nào bạn,máy của nước nào b,1,-25.083912,-68.979767
kích thước như thế nào vậy shop,kích thước ntn v shop,5,14.758815,-74.32943
vậy để mình qua mua trực tiếp,Vậy để m qua mua trực tiếp,2,-17.07807,28.380322
hơn tây,Sơn tây,2,5.351627,58.701477
toyota thăng long 316 cầu giấy,"Toyota Thăng Long, 316 Cầu Giấy",0,65.419571,48.492558
nguyễn quang vinh 0971123125,Nguyễn Quang Vinh 0971123125,0,92.791382,24.838221
bạn check giúp mình,B check giúp mình,4,-39.136284,26.662636
nhắn mình tổng số tiền,nhắn mình tổng số tiền,2,-4.580619,58.153801
bạn mình ở hà nội nhận hộ,bạn mình ở HN nhận hộ,2,-19.449499,74.377296
mình qua lấy luôn được không bạn,Mình qua lấy luôn đc ko b,4,-75.504585,24.663168
ngân hàng techcom,Ngân hàng techcom,0,83.43161,28.183069
0938220166,0938220166,5,64.049988,-42.80444
233 lê trọng tấn p sơn kỳ q tân phú,233 lê trọng tấn p sơn kỳ q tân phú,0,56.561462,50.862137
hjcc,Hjcc,5,68.62233,-34.299812
bạn giao buổi sáng cho mình được không bạn,B giao buổi sáng cho m đc k b?,4,-53.141399,26.725615
bạn check nhé,B check nhé,2,-19.436666,21.482153
mình là tháo 0931252989 sảnh r4 royal city nhé,Mình là Thao 0931252989 sảnh r4 royal city nhé,0,70.059097,24.995565
mình thử lại luôn,Mình thử lại luôn,2,-16.468039,32.977451
đang đơ chút nhé,Đang đơ chút nhé,0,55.911625,24.997293
0963321700,0963321700,5,68.923775,-30.027102
mình không gửi kịp,Mình k gửi kịp,2,-21.823647,38.003262
không người ta lên máy bay,K ngta lên máy bay,2,5.979034,37.023548
haizza,Haizza,5,69.019882,-34.165466
không trả tiền mặt hả shop,K trả tiền mặt hả shop,4,-23.412971,9.494314
ghế là 680k đúng không bạn,Ghế là 680k đúng k bạn?,4,-23.175457,5.098217
thảm xpe của hãng nào,Thảm xpe của hãng nào ?,3,20.73373,-38.150967
đây nữa ạ,Đây nữa ạ,1,-4.876156,-41.843262
ôi shop nghỉ rồi ạ tớ đang định mua cái thanh chắn cầu thang,"Ôi shop nghỉ rồi ah, tớ đang định mua cái thanh chắn cầu thang",3,-7.67684,-21.504663
thế ạ,Thế ạ,1,-3.107204,-78.32888
tớ đang cần gấp,T đang cần gấp,2,-34.306911,53.480095
thành phố thanh hoá,TP THANH HOÁ,2,-2.609609,81.311646
tớ ở thành hoá,T ở thanh hoá,2,-1.666749,77.790871
cái cũi quây báo tiên em,Cái cũi quây bao tiên e,3,20.186005,2.356224
46 dương quảng hàm nhé,46 dương quảng hàm nhé,0,82.499886,25.393749
còn nhìu mẫu,Còn nhìu mẫu,5,50.836075,-12.210641
cứ gửi bthuon cũng được,Cứ gửi bthuon cũng dc,2,26.099192,33.754211
uh mình sợ quá lâu thôi,"Uh,m sợ quá lâu thôi",3,-5.331676,7.885704
uh gio đặt gửi tới quảng ngãi thì bao lâu nhận được,"Uh,gio đặt gửi tới Quảng Ngãi thì bao lâu nhận được",0,29.87928,32.621174
lọai trên chắc chắn hơn không chị,Lọai trên chắc chắn hơn ko c,3,11.09888,-6.510926
còn mẫu này ạ,Còn mẫu này ạ,1,-14.000436,-70.127289
bình sữa tini 1 tặnh 1 á chị,Binh sữa Tini 1 tặnh 1 á c,3,13.266547,-0.289841
đã không,Dạ ko,4,-47.938007,37.071968
bóng vẽ hollq,bảng vẽ hollq,0,89.547035,2.508326
đàn nhạc thôi đúng không ạ,Đàn nhạc thôi đúng ko ạ,3,-5.964637,15.409351
đến an giang,Đến an giang,2,4.641797,61.213348
gửi hàng bao lâu vậy ạ,Gửi hàng bao lâu v ạ,4,-38.061962,7.134531
gửi mình mua luôn nhé,Gửi m mua luôn nhé,4,-60.565536,-6.861558
bạn có mẫu yếm silicon nào,B có mẫu yếm silicon nào,3,20.40469,-36.923378
2 loại của nước nào vậy ạ,2 loại của nước nào v ạ,1,-6.99707,-68.790916
được số 26 ngách 8/138 làng bún phú đô đường lê quang đạo nam từ liêm hà nội,"Đc: số 26 , ngách 8/138, làng bún Phú Đô, đường Lê Quang Đạo, Nam Từ Liêm,HN",2,28.291031,74.157547
hãng gì thế shop,Hãng gì thế shop,1,-1.659335,-61.483326
muốn đặt mua bộ này ạ,muốn đặt mua bộ này ạ,1,-51.81591,-42.799747
về mình tự lắp ráp hả shop,về m tự lắp ráp hả shop,3,-11.74252,8.869683
bao gồm cầu trượt bập bênh và bóng rổ đó à,bao gồm cầu trượt bập bênh và bóng rổ đó à,3,-4.43014,-26.041853
550k cả bập bênh hả chị,550k cả bập bênh hả c,3,27.984638,-10.897561
chính xác là 1m45,Chính xác là 1m45,0,70.840546,13.510349
nhà mình tầm 1m45 thôi,Nhà mình tầm 1m45 thôi,2,3.342722,30.88913
và 1 thanh nối 3 6m,"Và 1 thanh nối 3,6m",3,7.213111,-5.921081
tầm 6-7h,Tầm 6-7h,0,94.428406,9.172055
mình gửi nhé,M gửi nhé,4,-65.181641,-11.900829
thế bạn nhờ giúp ngoài giúp mình nhâ,Thế b nhờ giúp ngoài giúp m nhaaa 😍,2,10.254417,23.971037
lật được để làm bàn phẳng vẽ phải không bạn,Lật dc để làm bàn phẳng vẽ phải k bạn,3,17.135578,20.164867
liên hệ,Liên hệ,0,90.118896,26.268164
cái này 4250k hả shop,Cái này 4250k hả shop,3,20.296057,-29.623056
có gì mình gọi sau nhé,Có gì mình gọi sau nhé,4,-54.629162,-16.562361
lâu quá,Lâu quá,3,-8.831105,6.034387
nhưng vẫn chưa thấy giao hàng bạn ạ,Nhưng vẫn chưa thấy giao hàng b ah,4,-67.215332,23.910107
mình gọi tổng đài rồi,Mình gọi tổng đài rồi,0,32.130707,30.991905
ừ nhưng mình chắc mắc là không hề gọi để giao nhưng lại báo là giao không thanh công,Ừ nhưng m thắc mắc là ko hề gọi để giao nhưng lại báo là giao ko thành công,2,-24.188797,27.858042
mà vẫn đơn đấy bạn,Mã vẫn đơn đấy b,4,-43.650295,9.765187
shopêtp 81811688,SHOPEEVTP81811688,5,64.605644,-50.964794
không,Ko,4,-94.330521,11.935554
bạn có gối chaó nguoc cho bé hơn 1 tuổi jo,Bạn có gối chaos nguoc cho bé hon 1 tuổi jo,0,40.101593,-1.545713
bánh odi,Bánh odi,5,42.371971,-66.815155
mình có tiki,Mình có Tiki,1,-50.596889,-25.868898
0909371772 chị vui,"0909371772, chị Vui",0,93.530342,4.502421
196 kinh dương vương p an lac a quận bình tân,"196 Kinh Dương Vương , p.An Lac A quận Bình Tân",0,41.912952,53.858662
size 31 5 ý,Size 31.5 ý,0,41.581841,5.980134
size to còn 430k à,Size to còn 430k à,3,35.923458,-13.244313
size to mà bạn,Size to mà bạn,4,-46.965389,-20.081596
mình mua tặng,Mình mua tặng,1,-61.94017,-31.89887
hàng chính hãng đúng không bạn,Hàng chính hãng đúng ko bạn,4,-43.973465,13.707698
0978686667,0978686667,5,60.149532,-31.73119
số 40 ngõ 61 giang văn minh,Số 40 ngõ 61 giang văn minh,2,1.094426,73.256142
size to,Size to,3,1.306736,-11.90185
thế cái này ạ,Thế cái này ạ?,1,-12.264753,-72.417313
bạn giao sớm giúp mình nhé,bạn giao sớm giúp mình nhé,4,-60.633568,18.485083
mình vừa order,mình vừa order,0,39.227852,20.50773
cho bé 7m,cho bé 7m,3,22.284821,5.535959
cốc tập hút richell nha,cốc tập hút richell nha,0,50.226852,38.859501
ạ tây hồ,à tây hồ,2,-1.410152,77.19825
shop mình ở đâu nhỉ,shop mình ở đâu nhỉ,4,-55.357315,12.318222
nhà mình lúc nào cũng có người ở nhà,Nhà mình lúc nào cũng có ng ở nhà,4,-55.688362,11.35932
hoá ra đây là hàng nhập khẩu dùng nguồn 220v đ,Hoá ra đây là hàng nhập khẩu dùng nguồn 220v đ,0,73.886642,17.650312
mình mua cái tiến áp về nên dùng không được,M mua cái biến áp về nên dùng k đc,4,-32.511765,22.799328
mình liên hệ với hồng hỏi lý do được rồi,M liên hệ với hãng hỏi lý do đc rồi,2,15.179414,27.892429
các dòng thì mình biết rồi cơ mà đầy nước mà nó vẫn báo hết nước là sao bạn nhỉ,Cách dùng thì m biết rồi. Cơ mà đầy nước mà nó vẫn báo hết nước là sao b nhỉ?,4,-29.527699,9.55095
lần đầu dùng bị bỡ ngỡ quá,Lần đầu dùng bị bỡ ngỡ quá,0,52.544876,34.069176
cho nước vào khay chưa nước sau đoa dùng các chức năng nó cứ cảnh báo là hết nước là sao bạn nhỉ,"Cho nước vào khay chưa nước , sau đoa dùng các chức năng nó cứ cảnh báo là hết nước là sao bạn nhỉ",3,17.044945,-8.353865
konig kid cung hét hả,konig kid cung hét hả,5,38.818233,-55.570675
cái này mình dùng ở thành phố hồ chí minh,Cái này mình dùng ở tphcm,2,-3.900718,81.01931
khuyến mại tới bao giờ shop,Km tới bao giờ shop,3,17.792439,19.786236
ôi lâu quá t7 này mình lại về quê mất rồi,"Ôi lâu quá, t7 này mình lại về quê mất rồi",2,22.911377,26.353073
mấy mấy ngày shop,Mất mấy ngày shop,4,-64.125931,28.113598
mai là 1 tuần rồi mà mình vẫn chưa nhân được,"Mai là 1 tuân rôi mà m
Vân chua nhân dc",4,-46.993107,28.553761
khoảng mấy ngày nhận được vậy bạn,Khoang mây ngay nhận dc vay b,4,-43.840168,39.005432
da,Da,5,43.348022,-70.53038
shop lấy em mẫu này nha,Shop lấy e mẫu này nha,1,-20.054968,-52.278149
rồi shop nhé,Rồi shop nhé,4,-74.845421,-6.814917
mình lấy máy này,Mình lấy máy này,1,-53.696571,-41.987957
tớ lắp rồi bạn ạ,Tớ lắp r b ah,4,-74.904366,9.109935
quét mã qr không thấy ra,Quét mã QR k thấy ra,0,40.791611,29.876562
